step time wall-clock mass x-mom y-mom z-mom energy L2 mass-balance
     20 2.500000e-06 3.320000e-01 1.028663e+05 3.324877e+08 2.381114e+06 0.000000e+00 5.362311e+11 2.446751e+12 8.621547e+03
     40 8.125000e-06 4.680000e-01 7.200322e+04 2.803236e+08 5.181938e+06 0.000000e+00 4.625017e+11 2.251416e+12 8.596764e+03
     60 2.078125e-05 6.340000e-01 8.330784e+04 2.263114e+08 7.921589e+06 0.000000e+00 3.227114e+11 1.760503e+12 8.540765e+03
     80 4.925781e-05 8.070000e-01 1.460308e+05 4.191123e+08 3.123116e+07 0.000000e+00 7.513254e+11 3.377261e+12 8.411400e+03
    100 1.118441e-04 9.240000e-01 1.480727e+05 3.138265e+08 7.313325e+07 0.000000e+00 5.216845e+11 4.011890e+12 8.101445e+03
    120 1.864587e-04 1.041000e+00 1.363204e+05 3.024725e+08 9.279190e+07 0.000000e+00 5.287726e+11 3.394998e+12 7.666338e+03
    140 2.612787e-04 1.155000e+00 1.139037e+05 2.669366e+08 8.916070e+07 0.000000e+00 5.097414e+11 3.017730e+12 7.180644e+03
    160 3.361003e-04 1.273000e+00 1.145732e+05 2.743395e+08 8.860267e+07 0.000000e+00 5.514209e+11 3.255155e+12 6.629953e+03
    180 4.109218e-04 1.384000e+00 1.202588e+05 2.836179e+08 9.435694e+07 0.000000e+00 5.936169e+11 3.663064e+12 5.990438e+03
    200 4.857434e-04 1.489000e+00 1.765888e+05 3.641594e+08 9.578002e+07 0.000000e+00 8.831633e+11 4.224774e+12 5.309263e+03
    220 5.166528e-04 1.590000e+00 1.846424e+05 3.097065e+08 1.310933e+08 0.000000e+00 9.845582e+11 3.850345e+12 4.978225e+03
    240 5.489734e-04 1.689000e+00 1.897922e+05 2.680843e+08 1.904198e+08 0.000000e+00 9.803397e+11 3.675683e+12 4.623829e+03
    260 5.834156e-04 1.789000e+00 1.624950e+05 2.365111e+08 2.085954e+08 0.000000e+00 7.944845e+11 3.629319e+12 4.218460e+03
    280 6.196890e-04 1.891000e+00 1.644143e+05 2.168041e+08 2.112984e+08 0.000000e+00 7.219640e+11 3.427040e+12 3.779399e+03
    300 6.574537e-04 1.992000e+00 1.851004e+05 2.017652e+08 2.663451e+08 0.000000e+00 6.958021e+11 3.292289e+12 3.298761e+03
    320 6.962474e-04 2.092000e+00 2.068772e+05 2.374635e+08 2.897146e+08 0.000000e+00 6.957877e+11 3.102065e+12 5.956569e+02
    340 7.364360e-04 2.222000e+00 2.116001e+05 2.152098e+08 3.302720e+08 0.000000e+00 7.726386e+11 3.443310e+12 1.171140e+03
    360 7.775740e-04 2.360000e+00 2.415889e+05 2.523905e+08 3.692608e+08 0.000000e+00 8.228496e+11 3.613217e+12 1.807065e+03
    380 8.199231e-04 2.502000e+00 2.057959e+05 2.054600e+08 3.504670e+08 0.000000e+00 7.787703e+11 3.738710e+12 2.406517e+03
    400 8.620022e-04 2.646000e+00 2.123549e+05 2.241735e+08 3.316833e+08 0.000000e+00 7.457312e+11 3.987205e+12 2.755609e+03
    420 9.022781e-04 2.774000e+00 1.763270e+05 2.265048e+08 3.430498e+08 0.000000e+00 8.742534e+11 4.052860e+12 3.045888e+03
    440 9.397379e-04 2.919000e+00 1.639331e+05 2.108377e+08 3.557526e+08 0.000000e+00 9.029515e+11 4.330585e+12 3.146583e+03
    460 9.747034e-04 3.033000e+00 1.734860e+05 2.131359e+08 3.695153e+08 0.000000e+00 9.588816e+11 4.498860e+12 3.066711e+03
    480 1.007772e-03 3.158000e+00 1.763551e+05 2.135070e+08 3.804334e+08 0.000000e+00 9.940780e+11 4.569813e+12 3.013269e+03
    500 1.039607e-03 3.293000e+00 1.829283e+05 2.452761e+08 3.739495e+08 0.000000e+00 1.002804e+12 4.745142e+12 2.952899e+03
    520 1.070527e-03 3.406000e+00 1.950256e+05 2.600299e+08 3.782080e+08 0.000000e+00 9.940437e+11 4.871289e+12 2.768756e+03
    540 1.101138e-03 3.523000e+00 1.926737e+05 2.650548e+08 3.875636e+08 0.000000e+00 9.767671e+11 4.971006e+12 2.466312e+03
    560 1.131462e-03 3.651000e+00 2.309780e+05 2.688239e+08 3.885269e+08 0.000000e+00 9.792085e+11 5.220333e+12 2.121078e+03
    580 1.161313e-03 3.762000e+00 2.686440e+05 2.608051e+08 3.837079e+08 0.000000e+00 9.624864e+11 5.388543e+12 1.850601e+03
    600 1.188664e-03 3.869000e+00 3.500352e+05 2.567552e+08 3.865539e+08 0.000000e+00 1.131403e+12 5.706576e+12 1.696720e+03
    620 1.213321e-03 3.975000e+00 4.176061e+05 2.809491e+08 3.814200e+08 0.000000e+00 1.389562e+12 6.273309e+12 1.605196e+03
    640 1.235577e-03 4.082000e+00 4.977781e+05 3.432054e+08 3.780826e+08 0.000000e+00 1.629793e+12 6.891290e+12 1.541793e+03
    660 1.255931e-03 4.189000e+00 5.558254e+05 4.279944e+08 3.638961e+08 0.000000e+00 2.006148e+12 7.692406e+12 1.494994e+03
    680 1.274353e-03 4.296000e+00 6.214755e+05 3.861294e+08 3.598812e+08 0.000000e+00 2.409774e+12 8.782926e+12 1.457296e+03
    700 1.291056e-03 4.465000e+00 8.466909e+05 6.805971e+08 3.592350e+08 0.000000e+00 3.081580e+12 9.586497e+12 1.429217e+03
    720 1.306132e-03 4.604000e+00 8.511544e+05 8.199128e+08 3.739102e+08 0.000000e+00 3.444718e+12 1.096818e+13 1.407273e+03
    740 1.319819e-03 4.713000e+00 1.123190e+06 8.823554e+08 4.118966e+08 0.000000e+00 4.161031e+12 1.286141e+13 1.386245e+03
    760 1.332244e-03 4.823000e+00 1.101610e+06 1.051309e+09 4.177769e+08 0.000000e+00 4.727251e+12 1.447450e+13 1.369738e+03
    780 1.344736e-03 4.933000e+00 9.283640e+05 4.631590e+08 4.813686e+08 0.000000e+00 3.389390e+12 1.037106e+13 1.183738e+03
    800 1.359709e-03 5.041000e+00 8.684896e+05 3.935840e+08 5.424101e+08 0.000000e+00 3.548221e+12 8.772629e+12 1.008703e+03
    820 1.378574e-03 5.160000e+00 6.660891e+05 6.872644e+08 5.531755e+08 0.000000e+00 2.680182e+12 7.498019e+12 7.428933e+02
